cvegeo,centroide
090070001141A,POINT (-99.07461572442115 19.34754402367096)
0900700011424,POINT (-99.0706238489297 19.34642027228614)
0900700011439,POINT (-99.06644554582826 19.34875551249164)
0900700013365,POINT (-98.98479005681325 19.33793937084133)
0900700012687,POINT (-99.08277482935533 19.34634486464181)
0900700012704,POINT (-98.99936350012155 19.34737747207045)
0900700012719,POINT (-98.99283695293731 19.34757068106405)
0900700012776,POINT (-99.02467102740071 19.34079442131699)
0900700012780,POINT (-99.01160301745679 19.34292431651852)
0900700011443,POINT (-99.06183340484544 19.34993310343613)
0900700012808,POINT (-99.06551539643021 19.34167059600292)
0900700012812,POINT (-99.06916263218253 19.34077445241373)
0900700012846,POINT (-99.06928405284971 19.33746075209528)
0900700012850,POINT (-99.06454438970307 19.33642805237771)
0900700014679,POINT (-99.03569096332356 19.36940913334852)
0900700013153,POINT (-98.98267129694393 19.34076730790968)
0900700013204,POINT (-99.03724255220003 19.32933208635303)
0900700013219,POINT (-99.03440880592983 19.32889343722423)
0900700013223,POINT (-99.03111650144804 19.33215842010429)
0900700013238,POINT (-99.02144724165913 19.33500408661275)
0900700013257,POINT (-99.01537094047809 19.33216603091125)
0900700013276,POINT (-99.0201911113768 19.3314489605439)
090070001351A,POINT (-99.0747818988101 19.29814839494317)
0900700013558,POINT (-99.04465487122374 19.38815732355165)
0900700014081,POINT (-99.01185692494528 19.33872625845089)
090070001038A,POINT (-99.10453788603961 19.37475531606243)
0900700014109,POINT (-99.03070040915269 19.32453973357095)
0900700014166,POINT (-99.07264862282976 19.33040595621519)
0900700014170,POINT (-99.05861687425464 19.32070487173941)
0900700014185,POINT (-99.06027785202743 19.31757189687552)
090070001419A,POINT (-99.0520583303005 19.32766687219244)
0900700014202,POINT (-99.0486371820908 19.32562081948494)
0900700014217,POINT (-99.04705416279637 19.3239478841563)
0900700014236,POINT (-99.04291478146726 19.32143834481051)
090070001426A,POINT (-98.9772095669562 19.33063202263831)
090070001593A,POINT (-99.08081155120483 19.32805174126302)
0900700015075,POINT (-99.02299855736736 19.32861173125636)
090070001508A,POINT (-99.0197106959297 19.3269946089619)
0900700015094,POINT (-99.00730142906617 19.36937119982184)
0900700015111,POINT (-99.06388486998252 19.3570251439526)
0900700015145,POINT (-99.06802648083409 19.33078797584081)
0900700015450,POINT (-99.05968176014916 19.32533495313222)
0900700015431,POINT (-99.10635670269779 19.37115919102268)
0900700015446,POINT (-99.10929095582424 19.36693039329814)
090070001547A,POINT (-99.05761895277043 19.37887985205775)
0900700013647,POINT (-99.11464910875289 19.37311646765522)
0900700010534,POINT (-99.11299462907586 19.37141523813239)
0900700010604,POINT (-99.0277756959249 19.37071147372167)
090070001091A,POINT (-99.12672349209606 19.36077835742658)
0900700010977,POINT (-99.09797216516712 19.35930445360287)
090070001390A,POINT (-99.07556281369477 19.31362318398888)
0900700013914,POINT (-99.07770265281366 19.31099451065775)
0900700014927,POINT (-99.08086783983718 19.35494494079238)
0900700011388,POINT (-99.10218671927481 19.34512116493659)
0900700015785,POINT (-99.05696849483725 19.37507189031231)
0900700015893,POINT (-99.08921473183669 19.33160499531838)
0900700012988,POINT (-99.09708241341568 19.33217566978479)
090070001305A,POINT (-99.03873073425534 19.33471255474804)
0900700013793,POINT (-99.09913746587236 19.34893814561933)
090070001401A,POINT (-99.10183610963522 19.33568674403771)
0900700014024,POINT (-99.09692691577074 19.33705004201122)
0900700014804,POINT (-99.08433372039872 19.34019120481776)
0900700015499,POINT (-99.04029496928406 19.32148252780553)
0900700015376,POINT (-99.08463962194428 19.31051365225931)
0900700015501,POINT (-99.0393310501501 19.3193201264536)
0900700015520,POINT (-99.04106788402413 19.31763493250146)
0900700010905,POINT (-99.13518476555392 19.35826747806598)
090070001262A,POINT (-98.99752240540612 19.3509350193932)
0900700012634,POINT (-98.99554801016258 19.35216881578969)
0900700012649,POINT (-98.99186136194653 19.35278393864719)
0900700014611,POINT (-99.05406731464358 19.37323488484488)
0900700013562,POINT (-99.04162994501148 19.38742340626222)
0900700015412,POINT (-99.07091908001867 19.28913026651764)
0900700015889,POINT (-99.08716338965839 19.33293363040454)
0900700014293,POINT (-98.96808240595159 19.32837513731654)
0900700012206,POINT (-99.06497258503128 19.2972726383613)
0900700012193,POINT (-99.06725868923357 19.29658335636986)
0900700015874,POINT (-99.09099620324193 19.31256949579947)
0900700012437,POINT (-99.03743651296844 19.37428134747829)
0900700012441,POINT (-99.03376012726895 19.37346967349376)
0900700013295,POINT (-99.04558842600494 19.3281471372289)
0900700014791,POINT (-99.07669654189404 19.35972185845527)
0900700011316,POINT (-99.04386824717784 19.35037402681418)
0900700010040,POINT (-99.04656852454357 19.39370173571401)
090070001013A,POINT (-99.05476701289983 19.3854337871538)
0900700010197,POINT (-99.08542403435534 19.38419185652178)
0900700010248,POINT (-99.05190733270443 19.38244914119609)
0900700010286,POINT (-99.03400764055549 19.38317986801581)
0900700010290,POINT (-99.03523995261413 19.3817083331616)
0900700010303,POINT (-99.035427987259 19.3805931926271)
0900700010407,POINT (-99.07553420651601 19.37740134744838)
0900700010411,POINT (-99.06960116300121 19.37827634043071)
0900700010426,POINT (-99.06898303499767 19.37387913011291)
0900700015747,POINT (-99.00717763485574 19.37549205929881)
0900700015535,POINT (-99.07162332100623 19.32835908316589)
090070001554A,POINT (-99.07234815399671 19.32661750433071)
0900700010746,POINT (-99.09436014260335 19.36221451817308)
0900700010750,POINT (-99.08617486832122 19.3658301569714)
090070001077A,POINT (-99.0237665875942 19.3663834543709)
090070001127A,POINT (-99.05828072039745 19.35032617590587)
0900700012672,POINT (-99.09179021238545 19.34406117754813)
0900700013149,POINT (-98.98734772233787 19.33932425544365)
0901100010344,POINT (-99.00962400074495 19.27921037811214)
090070001337A,POINT (-99.06294650427317 19.3201696696651)
0900700013401,POINT (-99.03720836846144 19.32442504436647)
0900700014433,POINT (-99.09065029706882 19.31935014018205)
0900700013488,POINT (-99.08300588987557 19.30575038224054)
0900700013505,POINT (-99.07793986466073 19.30199598964716)
0900700014306,POINT (-99.08123908968372 19.3004937681395)
0900700014310,POINT (-99.07872059473743 19.2989110286527)
090070001433A,POINT (-99.07066367302257 19.29650648612182)
0900700014382,POINT (-99.06845158991722 19.29047065366007)
0900700014414,POINT (-99.08564517478487 19.32326327772078)
0900700013755,POINT (-99.0960935199507 19.35021452865686)
0900700014664,POINT (-99.03843851673287 19.37084974087941)
0900700015041,POINT (-98.97851322416261 19.33631855075877)
0900700015060,POINT (-99.05490299338824 19.32668650292985)
0900700015323,POINT (-98.9938684726209 19.33194190741109)
0900700015342,POINT (-99.00730098522224 19.33253222027049)
0901200010229,POINT (-99.13297208951769 19.29904611735867)
0900700015357,POINT (-99.0812231660606 19.31654619004238)
0900700012738,POINT (-99.00803031504296 19.3449114894662)
0900700011759,POINT (-99.04198505411058 19.34015307730084)
0900700015287,POINT (-99.12159364205455 19.37149823559182)
0900700015272,POINT (-99.11983156770717 19.37290746268705)
0900700013806,POINT (-99.10582117769818 19.34233983435731)
0900700013810,POINT (-99.10478694314956 19.34125612523214)
0900700013825,POINT (-99.1023606572807 19.3399169459647)
0901200010248,POINT (-99.12601494496853 19.29874101063885)
0900700011778,POINT (-99.10582332127726 19.33655194082148)
0900700015361,POINT (-99.0826169850952 19.31347037946698)
0900700014471,POINT (-99.08800233615786 19.31431577927802)
0900700014467,POINT (-99.08674181656737 19.31589919598616)
0900700011477,POINT (-99.05530420112909 19.34849311199033)
0900700011299,POINT (-99.05307419770885 19.34589855000386)
0900700013242,POINT (-99.00397532890661 19.33902502515805)
0900700013596,POINT (-99.04534745390539 19.38095604521246)
0900700013346,POINT (-99.00177620842625 19.33109637807749)
0900700014240,POINT (-99.02605941039415 19.32798820165355)
0900700014096,POINT (-99.03010580200423 19.32811183462939)
0900700015658,POINT (-99.0453844490447 19.3740007065395)
0900700015605,POINT (-99.04023117813186 19.37743020690813)
0900700015183,POINT (-99.05114624217191 19.37694239414103)
0901600011368,POINT (-99.21826691928007 19.4350309632026)
0900700014749,POINT (-99.05013030775925 19.32150222964793)
0900700012051,POINT (-99.05365384336204 19.31589225358771)
0900700013327,POINT (-99.05624008313318 19.32308096427553)
0900700015130,POINT (-99.067483668791 19.33339286448591)
0900700014151,POINT (-99.07213873474281 19.33226632168343)
0900700010445,POINT (-99.03267057799067 19.37911025696136)
0900700015253,POINT (-99.0296996210453 19.377630182314)
0900700010464,POINT (-99.02491819256018 19.37556276994261)
0900700010252,POINT (-99.05048888577971 19.38479217501099)
0900700010144,POINT (-99.04902486300303 19.38721783177997)
0900700010036,POINT (-99.05192867335666 19.39022020248852)
0900700012511,POINT (-99.12535487726726 19.36644167767332)
0900700012526,POINT (-99.12349827080391 19.3673394738861)
0900700014734,POINT (-99.05008145845171 19.3531247950799)
0900700011053,POINT (-99.05591216774195 19.35474487901473)
0900700011049,POINT (-99.05531324427125 19.36001775713266)
090070001472A,POINT (-99.05119879866515 19.35956292802046)
0900700015380,POINT (-99.04480373246727 19.31713638786067)
0900700015395,POINT (-99.0449288914195 19.31443036137505)
0900700011265,POINT (-99.06424265407144 19.35308077712483)
090110001026A,POINT (-99.00910583296735 19.28440474355665)
0900700011481,POINT (-99.05535584578854 19.3452128352839)
0900700013581,POINT (-99.04551857238744 19.38531555946832)
0900700014113,POINT (-99.07327098410448 19.3354612924683)
0900700014522,POINT (-99.05239473541701 19.37618717639844)
0900700014698,POINT (-99.06140933352179 19.36868987325876)
0900700015179,POINT (-99.05225851030669 19.37827950415417)
0900700015198,POINT (-99.05321660325922 19.36880980638149)
090070001515A,POINT (-99.07314144047405 19.29063742566472)
0900700015126,POINT (-99.06196179148841 19.3567463173554)
0900700015268,POINT (-99.02888708413198 19.37396048379486)
0900700015200,POINT (-99.05180864712106 19.36439280796143)
0900700010356,POINT (-99.11053831195409 19.37908043662704)
0900800010086,POINT (-99.21706229112243 19.32725454682133)
0900800010387,POINT (-99.26089742238196 19.31582679026293)
0900800010438,POINT (-99.26845741049264 19.30952935210902)
0900800010461,POINT (-99.24612406440532 19.29125742791145)
0900800010599,POINT (-99.24621017995896 19.28346047870262)
0900800010584,POINT (-99.26796334033996 19.30354491029326)
090110001001A,POINT (-99.05544116885864 19.30705012984334)
0900800010527,POINT (-99.25255454988788 19.32119937749437)
0900800010508,POINT (-99.22824070585277 19.30817098780198)
0900800010194,POINT (-99.2242206388688 19.31914497700045)
0900800010476,POINT (-99.24773954782447 19.27074480838758)
0900800010071,POINT (-99.21721841967832 19.33244669497713)
0900800010052,POINT (-99.2223196091914 19.3302078484048)
0900800010090,POINT (-99.24825989232571 19.32539568208509)
0900800010103,POINT (-99.24379022768207 19.32608014879101)
0900800010334,POINT (-99.23229419102024 19.30768639775726)
0900800010118,POINT (-99.23107601408459 19.32578036985515)
0900800010156,POINT (-99.24028307514354 19.32305586720035)
0900800010283,POINT (-99.22379676112776 19.31371410181048)
0900800010353,POINT (-99.23524822393748 19.3022474431694)
0900800010512,POINT (-99.25620443627136 19.32187964589347)
0900800010175,POINT (-99.2287703861071 19.32143263854115)
090080001018A,POINT (-99.22816764199979 19.31739373010658)
0901100010607,POINT (-99.03924158248779 19.31155783868461)
0900800010207,POINT (-99.2453906846748 19.31650155170713)
0900800010211,POINT (-99.24024806426709 19.3169904261245)
0900800010230,POINT (-99.24661445879801 19.31084731399041)
0900800010245,POINT (-99.24328487270455 19.31283496441725)
090080001025A,POINT (-99.23809207684532 19.3109632146853)
0900800010495,POINT (-99.22939683253408 19.31067583705275)
0900800010264,POINT (-99.23266805811522 19.31411323399977)
0900800010298,POINT (-99.25039985259438 19.3066661264729)
0900800010300,POINT (-99.24576244308287 19.30600956970743)
090080001032A,POINT (-99.23685586915764 19.30694924041536)
0900800010531,POINT (-99.25214756509763 19.31195809474926)
0900800010546,POINT (-99.25357481424604 19.31499128282178)
0900800010029,POINT (-99.21235482464127 19.33269020171333)
0900800010033,POINT (-99.21056559515198 19.33403422370869)
0900800010137,POINT (-99.24880938712224 19.31940203937422)
0900800010122,POINT (-99.22469547045822 19.32448580601625)
0900800010141,POINT (-99.24409595937932 19.32219929711706)
0900800010160,POINT (-99.23568988018116 19.31950707748709)
0901000011970,POINT (-99.21867285985974 19.37897943743635)
0900800010226,POINT (-99.24966270168814 19.31132192939182)
0900800010404,POINT (-99.26333622366802 19.30895395513807)
0900800010423,POINT (-99.25659248879506 19.30178517083895)
0900800010550,POINT (-99.25597379077227 19.31008283776751)
0900900010505,POINT (-99.01736763466073 19.20281711937331)
0900800010565,POINT (-99.25674256996543 19.30609710290417)
090080001057A,POINT (-99.26300689901937 19.30119536631837)
0900800010315,POINT (-99.24379513852459 19.30316136641699)
0900900330488,POINT (-99.0981884994774 19.2042658726046)
0900800010349,POINT (-99.24032531447379 19.29795215789112)
0900800010014,POINT (-99.21547170321065 19.33423618450836)
0900800010048,POINT (-99.20998576420646 19.33589639505436)
0900900170399,POINT (-98.99534795465796 19.18767231648001)
0900800010457,POINT (-99.25480380713044 19.29719240892067)
0900903000647,POINT (-98.96944388934963 19.20770449137769)
0900903000632,POINT (-98.97286190489105 19.21024392521924)
0900900290609,POINT (-99.05736050032482 19.20215849490548)
0900900110435,POINT (-98.98685406704519 19.21318427177026)
090090011051A,POINT (-98.98453074377461 19.20825523550037)
0900900010562,POINT (-99.03338920746806 19.19574976063015)
0901100010414,POINT (-98.99466203220035 19.27205080477531)
0900900170365,POINT (-99.01081737696119 19.19857225813869)
090090017037A,POINT (-99.00167356848462 19.19819799047112)
0900900170384,POINT (-99.00712588051579 19.19038702535918)
0900901520628,POINT (-99.03322339390971 19.17370072850503)
0900900330350,POINT (-99.09486403301726 19.19219768521761)
0901000012150,POINT (-99.19329703137163 19.37926808280168)
0901000012362,POINT (-99.20953517284667 19.37165275557812)
0900900360223,POINT (-98.99872422006887 19.18000449970419)
0900900010312,POINT (-99.02941198133222 19.18771548999575)
0901000010629,POINT (-99.19742173093249 19.37330346148275)
0900901520613,POINT (-99.03328582004768 19.17924687484868)
0900900010331,POINT (-99.01786397788389 19.18734243580753)
0901000010116,POINT (-99.19941796770894 19.39533272297302)
090090015012A,POINT (-99.06885433260734 19.20659191197935)
0900900240577,POINT (-99.07308546049342 19.17609479049456)
0900900240581,POINT (-99.06200435860026 19.18436277660712)
0901100010679,POINT (-99.03269648913236 19.28841687820819)
090090029044A,POINT (-99.05129389387976 19.20509099742707)
0900900290454,POINT (-99.04627965681301 19.20648870037612)
0900900010327,POINT (-99.01926941096158 19.19549346139393)
0900900170558,POINT (-98.99675569792939 19.19280962457888)
0901000011129,POINT (-99.19294049334096 19.3474006865004)
0900900290473,POINT (-99.04721829156085 19.19710215197005)
0900900330346,POINT (-99.08937117803022 19.19571142919433)
0900900010308,POINT (-99.0292479485683 19.1976397476713)
0900900240191,POINT (-99.07060305551164 19.18871764583833)
0900900240204,POINT (-99.07756625797521 19.1843691558718)
0901000011133,POINT (-99.1846189201637 19.34641411234258)
0900900240219,POINT (-99.06852277309581 19.1816982885433)
0900900360238,POINT (-99.00386217748614 19.17559217601417)
0900900240596,POINT (-99.08330692378658 19.18803358141516)
0901000011241,POINT (-99.19635206294537 19.33786536700481)
0900900290469,POINT (-99.05358550934336 19.19724606917827)
0900900110543,POINT (-99.00417062461375 19.22229234399354)
0900900240651,POINT (-99.07449267991677 19.19152344056602)
0900900010026,POINT (-99.02301135768448 19.1917569498817)
0900900360242,POINT (-98.99433710009981 19.17093660713851)
0900900010492,POINT (-99.02933594094817 19.20252364286669)
0900900110416,POINT (-98.98716687205852 19.21957652191394)
0901100010823,POINT (-99.01829345923605 19.30504223644675)
0900900110401,POINT (-98.99822321636732 19.22152780976706)
0900900110420,POINT (-98.99784522781381 19.21258241612443)
0901100240749,POINT (-98.96921530696194 19.21178195064618)
0901000011720,POINT (-99.28735240752746 19.31928508176773)
090100001135A,POINT (-99.2871996911491 19.32718792882631)
0901000011716,POINT (-99.26028758254046 19.32199034998109)
0901000011237,POINT (-99.20454988784689 19.33515763603863)
0901000011307,POINT (-99.2114818097797 19.31028699871595)
0901000011379,POINT (-99.2581753051344 19.37616702849877)
0901000010493,POINT (-99.20575535668675 19.37545626585274)
0901000010281,POINT (-99.24395547137814 19.38479533964667)
0901000011580,POINT (-99.22414965761828 19.37230286170686)
0901000012199,POINT (-99.219254286431 19.35257178217682)
0901000012269,POINT (-99.21662243587996 19.36697791432491)
0901100010804,POINT (-98.9983535455227 19.29702931837273)
0901000012273,POINT (-99.24339567531243 19.34840740198176)
0901000011330,POINT (-99.26168676069436 19.33457004143495)
0901000010489,POINT (-99.21265332109257 19.37634118294699)
090100001181A,POINT (-99.22628893177225 19.35056118294558)
0901000011472,POINT (-99.2486103969057 19.37689726913133)
0901000011684,POINT (-99.25064620485141 19.33346793024497)
0901000011665,POINT (-99.24126930777599 19.35238390140267)
0901000010309,POINT (-99.24576005934325 19.38092912147854)
0901000010169,POINT (-99.21574385322569 19.38872444723501)
0901000010578,POINT (-99.2167896040109 19.3701767639558)
0901000010597,POINT (-99.20862784391234 19.37445425550547)
0901000010686,POINT (-99.22718698911504 19.36698090617737)
0901000010690,POINT (-99.20789352009278 19.36542292838572)
0901000010915,POINT (-99.21727716059358 19.36340636945309)
0901000010027,POINT (-99.19457465598896 19.40148230583518)
0901000011754,POINT (-99.27229687419212 19.30885135628421)
0901000010648,POINT (-99.19317040304168 19.37120115274784)
0901000012216,POINT (-99.25293030904399 19.35312774650434)
0901000010031,POINT (-99.20764552078978 19.39941107582834)
0901000011275,POINT (-99.19857797512509 19.3225587772058)
0901000011260,POINT (-99.20769321311931 19.32651865669848)
0901000010065,POINT (-99.19208068531947 19.3976012466824)
0901000011063,POINT (-99.17872214614263 19.35448002392265)
0901000011542,POINT (-99.25919652190805 19.36897816094798)
090100001053A,POINT (-99.23479102209586 19.36935468269852)
0901000012358,POINT (-99.25508614876708 19.36682618930263)
0901000012057,POINT (-99.2479348257698 19.32915658479396)
0901000012201,POINT (-99.2570899250247 19.35425920115496)
0901000010135,POINT (-99.19311071012928 19.38886063987942)
0901000012061,POINT (-99.22900454592467 19.38978827591951)
0901000011222,POINT (-99.20546456882039 19.33884997338409)
090100001128A,POINT (-99.21573126555656 19.3177664578463)
0901000011364,POINT (-99.26479256772545 19.31761749695446)
0901000010987,POINT (-99.18857500349225 19.36013278655317)
0901000010991,POINT (-99.18237658152069 19.35723986529758)
0901000011006,POINT (-99.17613145220751 19.3602078849006)
0901000011951,POINT (-99.22045558662994 19.38225829264361)
0901000010012,POINT (-99.19992043391048 19.40109674346164)
090100001021A,POINT (-99.20695905615199 19.38911248051446)
0901000011044,POINT (-99.19428944519173 19.35471364388644)
0901000010525,POINT (-99.19355019990964 19.37440207080115)
0901400010295,POINT (-99.14355604590348 19.38799877964331)
0901000011769,POINT (-99.27313930835216 19.33722197938278)
0901000012042,POINT (-99.25444054582434 19.32743388803754)
0901000010718,POINT (-99.20850700933026 19.36758898432979)
0901000010544,POINT (-99.23084310777737 19.36979300646308)
0901000010811,POINT (-99.19434189402342 19.36843121759953)
0901000010826,POINT (-99.19805547655496 19.36632288957773)
0901000010830,POINT (-99.19288231480532 19.36707119635178)
0901000010845,POINT (-99.19273115718127 19.36535196446381)
0901000011010,POINT (-99.20738207728057 19.35562420050716)
0901000010722,POINT (-99.20651415809547 19.36802425934962)
090100001103A,POINT (-99.20439559946176 19.35050247461601)
0901000010614,POINT (-99.20165110201137 19.37158297117419)
0901000011881,POINT (-99.24953291571602 19.35091786751456)
0901000011928,POINT (-99.22250038647528 19.38551750481241)
0901000011966,POINT (-99.22213336155673 19.37859399611354)
090100001199A,POINT (-99.21192475146889 19.3788766543417)
0901000012004,POINT (-99.25762787408216 19.36021648135285)
0901000010506,POINT (-99.204122883075 19.37679889352947)
0901000012019,POINT (-99.24799328788662 19.36697864934564)
0901000012023,POINT (-99.24107145395845 19.3620406410661)
0901000012038,POINT (-99.23943467373837 19.35973454707753)
0901000012131,POINT (-99.20526691702017 19.37166215560944)
0901000012165,POINT (-99.21198724342176 19.37341019306515)
0901000012184,POINT (-99.21917764014003 19.35634103415781)
0901000010084,POINT (-99.2090909699323 19.3935193958434)
0901200010426,POINT (-99.15657659212421 19.29062027926651)
0901000012220,POINT (-99.24482745815111 19.35954696051614)
0901000012235,POINT (-99.24329776813863 19.35727517167052)
0901000012254,POINT (-99.2270111737091 19.36288471024274)
0901000012292,POINT (-99.21638531730783 19.36080400922651)
090100001231A,POINT (-99.25583570963147 19.35691143571794)
0901000012324,POINT (-99.25434838386492 19.36021347787236)
0901000012339,POINT (-99.24544096930859 19.37279845924409)
0901000011114,POINT (-99.1952451693073 19.3502750994414)
0901000011078,POINT (-99.23279285432362 19.34721895446968)
0901500010470,POINT (-99.15659195540921 19.45355803610004)
0901000012288,POINT (-99.22666152022467 19.35609017390381)
090100001110A,POINT (-99.20230534736844 19.34601423002207)
0901000011190,POINT (-99.19721424043502 19.34251239985744)
0901000011203,POINT (-99.18971540570868 19.34393733095048)
0901000010563,POINT (-99.21814191016651 19.37328411098267)
0901000011148,POINT (-99.25337968021857 19.34201832753662)
090100001167A,POINT (-99.26156690697469 19.32734968564269)
0901000011519,POINT (-99.21573753625655 19.38102884942073)
0901000011523,POINT (-99.21218598672863 19.3814850749278)
0901000011631,POINT (-99.24069304814844 19.3547192044505)
0901000011646,POINT (-99.2362467090492 19.35409656546468)
0901000011650,POINT (-99.23331697260512 19.35519281977801)
0901000010046,POINT (-99.20393522192977 19.39751665851148)
0901000010050,POINT (-99.19690377875864 19.39854208745595)
0901000010101,POINT (-99.20354524435771 19.3933687044427)
0901200010572,POINT (-99.1284597620715 19.29225013722739)
0901000010173,POINT (-99.21481928734232 19.38736220693028)
0901000010188,POINT (-99.20897321458519 19.38949072006148)
0901000010224,POINT (-99.20540929356386 19.38881377593681)
0901000010239,POINT (-99.20332885587014 19.38801747977862)
0901000010421,POINT (-99.19859291913562 19.38051218490071)
0901000010807,POINT (-99.19737128179942 19.36751090700541)
0901000010243,POINT (-99.20674144731771 19.38686805179355)
0901000010258,POINT (-99.2094652143041 19.38759344399056)
0901000010262,POINT (-99.20771590493827 19.38775715005108)
0901000010277,POINT (-99.20590045067071 19.38763019049136)
0901000010192,POINT (-99.20503525916872 19.38973848304748)
0901500010485,POINT (-99.1553477963643 19.44844931040092)
0901000010313,POINT (-99.24055740718907 19.37969893212174)
0901000010328,POINT (-99.23595081934897 19.38134927386664)
0901000010332,POINT (-99.23245180981429 19.3816724111742)
0901000010347,POINT (-99.23011427894862 19.38255257445609)
0901000010351,POINT (-99.22743793411941 19.38295521980025)
0901000010370,POINT (-99.21901185168946 19.38532173847897)
0901000010440,POINT (-99.23261351596193 19.37731952438249)
0901000010474,POINT (-99.2073261690099 19.37840795002398)
0901000010296,POINT (-99.23947843003162 19.38316337174662)
090100001060A,POINT (-99.20099999332511 19.37438390764428)
0901000010667,POINT (-99.23719131703544 19.36495110247437)
0901000010671,POINT (-99.22698171960157 19.36582523829881)
0901000010737,POINT (-99.20400055887933 19.36777087532489)
0901100010626,POINT (-99.05241449664985 19.29666161062629)
0901000010741,POINT (-99.20103951909165 19.36968377168288)
0901000010559,POINT (-99.22394333082012 19.36884212464181)
0901000010756,POINT (-99.20299968794325 19.36714020313701)
0901000010760,POINT (-99.20118200075181 19.36748602308178)
0901000010775,POINT (-99.1993128054424 19.36776713343522)
090100001092A,POINT (-99.20352836494608 19.3635717451418)
0901000010949,POINT (-99.21168460556048 19.35706389213984)
0901000010953,POINT (-99.20659876442124 19.35886382060712)
0901100010274,POINT (-99.00249538175744 19.28783014390675)
0901000010968,POINT (-99.2010020629433 19.35971485081897)
0901000010972,POINT (-99.19486936248934 19.36071139440094)
0901000011843,POINT (-99.23609125356698 19.34166559423492)
0901000012146,POINT (-99.19424961298976 19.38003526306189)
0901000010385,POINT (-99.21625750670815 19.38414482610544)
0901000010633,POINT (-99.19638099674354 19.37133615737917)
0901000011453,POINT (-99.21362544922393 19.38456456079781)
0901000011059,POINT (-99.18784166842912 19.354126360698)
0901000010205,POINT (-99.20883059721957 19.38904291213783)
0901000011792,POINT (-99.20784961879336 19.39150958443473)
0901000012377,POINT (-99.21045078610152 19.37009553822523)
0901000012343,POINT (-99.23841341988097 19.3744313847177)
0901000012381,POINT (-99.27391734687629 19.31602452784228)
0901000011824,POINT (-99.22616349522208 19.34768077660969)
090100001174A,POINT (-99.26882056374413 19.31716213819407)
0901000011735,POINT (-99.26875405537994 19.32341800681298)
0901000010510,POINT (-99.19761907498989 19.37652633628461)
0901000011932,POINT (-99.22498092529842 19.37972645409419)
0901100011412,POINT (-99.03252785770243 19.30583661106907)
0901000011947,POINT (-99.22507470618255 19.37545644303922)
0901000012080,POINT (-99.24747670332805 19.36416802127867)
0901000012108,POINT (-99.20592093667484 19.38407161792975)
0901000012095,POINT (-99.24511316728933 19.36300453282615)
0901000012112,POINT (-99.20758354129545 19.38172754374683)
0901000011561,POINT (-99.23417647901209 19.3741060580493)
0901000012305,POINT (-99.25115388593538 19.35807260876215)
0901000011152,POINT (-99.23838085205395 19.3437278803621)
0901000011186,POINT (-99.21045822447317 19.34113998030834)
090100001078A,POINT (-99.19795156599183 19.3690521499164)
0901000011595,POINT (-99.24137428039538 19.36799208798551)
0901100010768,POINT (-98.99547265496126 19.28224145838306)
0901000011294,POINT (-99.20423833930334 19.31945440126875)
0901000011487,POINT (-99.22804209096171 19.37978572526974)
0901000010794,POINT (-99.19665470086781 19.36949190583682)
0901000011985,POINT (-99.21622274561093 19.37701192121959)
0901000011345,POINT (-99.27304187613505 19.32929687577547)
0901000011557,POINT (-99.2286150648322 19.37492819019521)
0901000011434,POINT (-99.21282972217644 19.39367412801743)
0901000010417,POINT (-99.20084703422593 19.38455308865958)
0901000010455,POINT (-99.23223441686567 19.37327396266104)
090100001014A,POINT (-99.21241622995009 19.39056795726097)
0901000010703,POINT (-99.21078728878082 19.367212170115)
0901000010864,POINT (-99.24913320806641 19.3610554430241)
0901000010898,POINT (-99.23272057960099 19.35783174941114)
0901000010900,POINT (-99.22948662266688 19.35711015021828)
0901000011025,POINT (-99.21116986959159 19.35124239813794)
0901000011773,POINT (-99.19602569704668 19.39289637936962)
0901000011805,POINT (-99.20286984607456 19.39195275132565)
0901000011788,POINT (-99.19793035517455 19.38882553293929)
0901000011839,POINT (-99.22012718663707 19.34817327208693)
0901000012076,POINT (-99.21694551980312 19.39599535073575)
0901000011627,POINT (-99.23649908653512 19.3597011810937)
0901000010099,POINT (-99.20841284983911 19.39549610401933)
0901000011171,POINT (-99.21785425809463 19.34258181451866)
0901000011218,POINT (-99.21536555316506 19.33705579193818)
0901000011858,POINT (-99.22938251215237 19.33663142390704)
090110001040A,POINT (-98.99438235874514 19.2752554423511)
0901100011075,POINT (-99.05741802987912 19.28149538841474)
090100001224A,POINT (-99.232065392338 19.36094524818656)
0901000011699,POINT (-99.23984716320842 19.33145298921232)
0901000011468,POINT (-99.22400492709838 19.38241784321027)
0901000011913,POINT (-99.22422314415348 19.38460870114155)
0901100011323,POINT (-99.05110745991949 19.28045864508976)
0901100011446,POINT (-99.03341596679228 19.28500753770258)
090110001108A,POINT (-99.05396056443003 19.280043801332)
0901100010132,POINT (-99.02059296846051 19.28973290959161)
0901100010452,POINT (-98.99820290139614 19.26890307045904)
0901100010594,POINT (-99.04263193732947 19.31093797911401)
0901100011111,POINT (-99.0372210369145 19.30846570149339)
0901100211516,POINT (-99.00662786194461 19.22744893015254)
0901100011357,POINT (-99.05029950897391 19.30881654993525)
0901100011376,POINT (-99.04469387175681 19.28030694067166)
0901100210787,POINT (-98.99410253971578 19.22764244441331)
0901100011499,POINT (-99.01000108402276 19.24436965978917)
